id_vehiculo,vehiculo,anio
7,Acura TLX A-Spec,2023
67,Acura TLX Technology,2023
74,Acura MDX Type S,2022
112,Acura MDX A-Spec,2023
144,Acura TLX A-Spec,2023
159,Acura MDX Technology,2023
166,Acura TLX A-Spec,2023
169,Acura Integra A-Spec Technology,2023
172,Acura Integra A-Spec Technology,2023
202,Acura RDX A-Spec Advance,2023
212,Acura TLX Technology,2023
213,Acura RDX Base,2016
271,Acura NSX Base,2021
321,Acura MDX Type S,2023
332,Acura MDX Technology,2023
350,Acura TLX A-Spec,2023
350,Acura TLX A-Spec,2023
363,Acura TLX Type S,2023
392,Acura MDX Type S,2023
450,Acura MDX 3.5L Advance Pkg w/Entertainment Pkg,2015
474,Acura RLX Technology Package,2017
515,Acura ILX Premium Package,2022
559,Acura ILX Premium & A-SPEC Packages,2022
564,Acura TLX w/A-Spec Package,2022
565,Acura Integra w/A-Spec Package,2023
570,Acura MDX Type S w/Advance Package,2023
572,Acura TLX V6 Technology & A-Spec,2019
573,Acura MDX 3.5L w/Advance Package,2019
594,Acura ILX 2.4L,2016
600,Acura TLX FWD,2017
631,Acura RDX Base,2019
643,Acura RDX Advance Package,2018
645,Acura MDX Advance,2023
668,Acura RLX Technology Package,2018
771,Acura TLX Technology,2020
796,Acura RDX A-Spec,2021
847,Acura MDX Type S,2022
914,Acura ILX Base,2020
917,Acura MDX Technology,2023
922,Acura MDX A-Spec,2022
930,Acura RDX A-Spec,2019
960,Acura MDX 3.5L,2018
995,Acura TLX A-Spec,2022
1004,Acura TLX Type S,2023
1011,Acura MDX Advance,2023
1063,Acura RDX A-Spec,2021
1070,Acura TLX Type S,2023
1090,Acura MDX Type S w/Advance Package,2022
1097,Acura ILX 2.4L,2016
1122,Acura TLX Base,2021
1135,Acura TL 3.5,2012
1136,Acura NSX Base,2017
1138,Acura MDX 3.5L,2019
1196,Acura TLX V6 Technology & A-Spec,2019
1213,Acura MDX Sport Hybrid 3.0L w/Advance Package,2020
1231,Acura TLX V6,2015
1234,Acura MDX 3.5L Technology Package,2014
1244,Acura MDX Sport Hybrid 3.0L w/Technology Package,2018
1260,Acura TLX Technology,2023
1332,Acura TLX V6 Technology & A-Spec,2019
1367,Acura TLX Technology,2022
1386,Acura TLX V6 A-Spec,2018
1387,Acura ILX 2.0L Technology,2013
1390,Acura RDX Base,2014
1413,Acura TLX V6 Technology & A-Spec,2019
1458,Acura TLX Type S,2023
1468,Acura MDX 3.5L w/Technology Package,2020
1469,Acura MDX 3.5L w/Technology Package,2017
1488,Acura RDX Technology Package,2015
1488,Acura RDX Technology Package,2015
1496,Acura TLX Technology,2018
1497,Acura MDX 3.7L (A6),2011
1541,Acura MDX 3.5L Technology Package,2015
1550,Acura RDX Technology Package,2019
1554,Acura ILX Premium & A-SPEC Packages,2016
1565,Acura TLX ELITE A-SPEC,2018
1571,Acura TLX A-Spec,2023
