carroId,estrellas,creadoEn
54432,1,2024-03-02 06:24:22
46464,2,2025-07-05 20:54:05
88318,5,2025-07-04 03:59:13
10919,1,2024-01-05 23:35:08
51597,5,2025-09-20 11:23:51
85955,2,2025-07-16 14:09:07
91048,4,2025-05-10 06:53:25
11585,1,2025-05-19 17:24:30
32093,1,2025-06-10 04:56:43
65157,2,2024-07-15 00:33:45
62127,2,2025-09-07 01:03:05
49748,1,2024-08-20 17:42:32
61805,2,2025-10-17 04:15:11
101583,1,2025-07-06 08:07:43
12507,3,2024-10-25 10:58:04
70295,5,2025-06-16 14:04:59
55524,4,2025-10-01 05:45:53
72600,1,2024-04-29 00:18:08
72868,2,2024-04-05 04:31:12
50673,3,2024-07-20 16:45:16
75215,2,2024-11-11 22:08:16
15444,2,2024-05-09 00:12:23
16055,3,2024-11-06 01:54:16
52198,2,2024-08-21 11:52:09
77615,3,2024-07-29 19:41:47
102630,4,2024-04-16 17:15:13
52018,2,2025-04-23 12:33:47
42378,3,2025-05-14 00:32:11
109882,2,2024-06-02 08:29:32
98130,5,2024-05-30 12:06:54
108967,2,2025-02-25 00:08:07
50935,3,2025-06-16 21:06:44
45151,4,2025-11-07 14:20:23
26885,2,2023-12-02 03:13:49
78362,1,2024-03-02 02:43:20
60295,2,2024-02-14 17:46:18
98049,5,2025-03-27 00:07:36
112798,5,2024-09-28 05:22:32
82656,3,2024-10-11 01:55:37
1488,2,2024-09-16 23:37:02
51828,5,2025-08-01 06:02:17
34376,5,2024-11-25 22:15:45
110950,1,2025-07-26 01:30:27
87526,1,2023-12-21 11:15:55
23793,4,2025-08-21 03:26:11
92081,4,2024-12-28 13:56:32
94190,3,2023-12-30 23:43:12
74339,4,2025-10-23 07:07:22
11591,5,2024-12-16 01:09:02
53740,4,2024-08-30 05:58:04
88112,1,2023-11-26 17:54:52
53962,5,2025-01-26 13:35:07
29386,2,2024-10-18 18:01:43
43076,2,2023-12-09 01:59:25
78654,1,2024-12-09 19:05:08
4308,1,2025-09-22 07:18:30
51070,1,2025-07-26 04:53:10
22258,3,2024-07-25 04:55:40
102927,5,2025-07-19 21:07:54
3610,1,2025-01-05 16:02:10
52607,2,2024-11-30 07:37:20
74408,5,2024-06-20 16:48:44
35666,5,2025-02-02 15:14:17
4442,1,2024-07-30 09:29:59
25519,2,2025-03-20 21:29:12
30360,3,2024-01-05 06:54:44
35639,2,2025-06-06 14:44:22
62422,4,2024-01-11 20:18:11
109214,4,2025-01-26 05:59:01
86087,2,2024-01-24 17:34:50
89870,3,2025-01-20 19:11:34
69925,1,2025-07-12 11:07:12
36890,1,2024-02-09 09:58:33
108204,5,2024-12-31 04:40:17
71500,3,2024-03-16 01:24:31
11615,1,2025-07-26 10:42:57
9327,4,2024-12-17 00:14:29
64701,5,2025-09-01 12:03:51
28379,1,2025-09-05 12:44:58
9688,3,2024-01-21 07:18:41
71357,1,2025-02-01 22:38:34
13597,4,2025-10-30 16:29:21
1367,3,2024-11-12 00:22:56
75805,5,2025-03-01 23:42:43
86890,1,2025-04-02 04:01:22
101143,1,2024-04-10 10:18:04
6234,3,2025-06-20 04:28:12
86004,2,2024-01-09 22:16:38
5067,2,2025-07-01 23:57:59
69421,5,2025-04-28 09:42:42
108894,4,2024-10-13 21:19:49
111833,4,2025-08-10 07:58:24
15607,4,2024-06-16 05:02:13
71342,1,2024-11-09 21:27:39
98041,1,2024-10-29 16:31:48
114842,5,2025-10-04 22:41:40
78935,1,2025-09-28 02:22:02
32303,3,2025-06-10 02:40:39
18925,1,2024-03-11 09:12:49
110839,2,2025-04-02 09:03:01
33793,5,2024-07-27 19:33:08
97350,3,2024-01-09 21:12:01
39632,5,2024-04-03 06:32:47
34228,2,2025-03-31 08:30:41
7854,2,2025-02-02 22:50:57
41845,2,2024-08-04 02:24:48
9790,4,2024-10-31 19:57:07
8046,4,2024-12-28 01:12:08
74118,1,2025-07-12 20:54:04
63657,5,2025-05-05 02:38:34
13067,2,2025-06-10 12:24:31
71244,4,2025-08-12 05:41:46
7702,1,2024-10-15 00:22:06
42458,4,2025-10-04 23:27:45
12961,1,2023-11-30 20:22:59
103641,4,2024-09-20 23:46:15
15206,2,2025-02-02 13:47:27
114938,2,2024-06-29 08:59:13
102589,1,2023-11-19 02:20:50
76411,3,2025-03-12 14:19:14
111097,1,2025-08-18 11:05:24
17742,3,2024-09-12 01:02:57
60809,1,2023-11-28 19:41:39
21178,5,2023-11-20 19:03:33
72830,1,2024-05-07 02:29:29
37923,1,2024-07-21 13:34:48
15628,2,2024-10-10 22:32:51
110151,5,2024-03-10 01:19:47
60212,3,2024-06-02 05:16:11
41565,2,2025-09-08 16:58:05
63515,1,2024-05-05 06:52:17
101268,5,2025-02-10 01:28:05
27935,4,2025-04-21 02:12:23
62448,5,2025-07-02 12:20:09
48301,4,2024-07-24 20:31:32
