vehiculo_label,modelo,promedio_calificacion,n_resenas
Acura MDX Type S,5.0,5.0,1
Acura TLX A-Spec,5.0,5.0,1
Acura RDX Base,5.0,5.0,1
Acura TLX V6 Technology & A-Spec,5.0,5.0,1
Acura TLX FWD,5.0,5.0,1
Acura MDX Technology,5.0,5.0,1
Acura MDX 3.5L,5.0,5.0,1
Acura TLX Type S,5.0,5.0,1
Acura ILX 2.4L,5.0,5.0,1
Acura MDX Sport Hybrid 3.0L w/Technology Package,5.0,5.0,1
Acura MDX 3.5L w/Technology Package,5.0,5.0,1
Acura MDX 3.5L w/Technology Package,5.0,5.0,1
Acura TLX Technology & A-Spec,5.0,5.0,1
Acura TSX Technology,5.0,5.0,1
Acura TLX V6 Tech,5.0,5.0,1
Acura TLX Technology,5.0,5.0,1
Acura TLX V6 w/Technology Package,5.0,5.0,1
Acura ILX 2.0L w/Premium Package,5.0,5.0,1
Acura TLX V6 A-Spec,5.0,5.0,1
Acura TLX FWD,5.0,5.0,1
Acura RDX Advance Package,5.0,5.0,1
Acura TLX A-Spec,5.0,5.0,1
Acura TLX V6 w/Technology Package,5.0,5.0,1
Acura TLX Technology,5.0,5.0,1
Acura MDX 3.5L w/Technology Package,5.0,5.0,1
Acura RDX A-Spec,5.0,5.0,1
Acura TLX V6 w/Technology Package,5.0,5.0,1
Acura MDX Technology,5.0,5.0,1
Acura NSX Base,5.0,5.0,1
Acura TLX A-Spec,5.0,5.0,1
Acura TLX Tech,5.0,5.0,1
Acura RDX Advance Package,5.0,5.0,1
Acura RDX Base,5.0,5.0,1
Acura TLX Technology,5.0,5.0,1
Acura MDX 3.5L w/Technology Package,5.0,5.0,1
Acura MDX Advance,5.0,5.0,1
Acura RDX Base,5.0,5.0,1
Acura MDX 3.5L w/Technology Package,5.0,5.0,1
Acura MDX 3.5L,5.0,5.0,1
Acura RDX Technology Package,5.0,5.0,1
Acura TLX V6 w/Advance Package,5.0,5.0,1
Acura MDX Technology,5.0,5.0,1
Acura MDX Advance,5.0,5.0,1
Acura TL Technology,5.0,5.0,1
Acura MDX A-Spec,5.0,5.0,1
Acura RDX A-Spec,5.0,5.0,1
Acura RDX Technology Package,5.0,5.0,1
Acura RDX Base,5.0,5.0,1
Acura MDX Advance,5.0,5.0,1
Acura RDX Technology Package,5.0,5.0,1
Acura MDX Advance,5.0,5.0,1
Acura RDX Base,5.0,5.0,1
Acura TLX Technology,5.0,5.0,1
Acura TLX A-Spec,5.0,5.0,1
Acura RDX A-Spec,5.0,5.0,1
Acura MDX Technology,5.0,5.0,1
Acura MDX Technology,5.0,5.0,1
Acura TLX V6 w/Technology Package,5.0,5.0,1
Acura MDX 3.5L Technology & A-Spec Pkgs,5.0,5.0,1
Acura RDX Technology Package,5.0,5.0,1
Acura MDX,5.0,5.0,1
Acura TLX Type S PMC Edition,5.0,5.0,1
Acura RDX Base,5.0,5.0,1
BMW X3 M40i,5.0,5.0,1
BMW M850 Gran Coupe i xDrive,5.0,5.0,1
BMW X5 M50i,5.0,5.0,1
BMW iX xDrive50,5.0,5.0,1
BMW M8 Gran Coupe Competition Gran Coupe,5.0,5.0,1
BMW X1 xDrive28i,5.0,5.0,1
BMW 330e xDrive,5.0,5.0,1
BMW X5 xDrive40i,5.0,5.0,1
BMW 760 760i xDrive,5.0,5.0,1
BMW 530e 530e,5.0,5.0,1
BMW X7 xDrive40i,5.0,5.0,1
BMW X3 M40i,5.0,5.0,1
BMW X5 sDrive40i,5.0,5.0,1
BMW X3 xDrive30i,5.0,5.0,1
BMW 328 i,5.0,5.0,1
BMW 540 i xDrive,5.0,5.0,1
BMW X6 M Base,5.0,5.0,1
BMW M8 Gran Coupe Competition Gran Coupe,5.0,5.0,1
BMW 530 i,5.0,5.0,1
BMW M550 i xDrive,5.0,5.0,1
BMW 340 i xDrive,5.0,5.0,1
BMW X7 M60i,5.0,5.0,1
BMW 740 i,5.0,5.0,1
BMW X5 M50i,5.0,5.0,1
BMW X4 xDrive30i,5.0,5.0,1
BMW X3 xDrive30i,5.0,5.0,1
BMW X4 M AWD,5.0,5.0,1
BMW 540 i,5.0,5.0,1
BMW 320 i xDrive,5.0,5.0,1
BMW X3 sDrive30i,5.0,5.0,1
BMW X6 M50i,5.0,5.0,1
BMW 325 iC,5.0,5.0,1
BMW M8 Base,5.0,5.0,1
BMW X3 sDrive30i,5.0,5.0,1
BMW 530 i,5.0,5.0,1
BMW X7 xDrive40i,5.0,5.0,1
BMW 650 i,5.0,5.0,1
BMW X4 xDrive30i,5.0,5.0,1
BMW X6 xDrive40i,5.0,5.0,1
BMW M4 Base,5.0,5.0,1
BMW X3 sDrive30i,5.0,5.0,1
BMW 535 i xDrive,5.0,5.0,1
BMW 650 Gran Coupe i xDrive,5.0,5.0,1
BMW M4 Base,5.0,5.0,1
BMW M6 Base,5.0,5.0,1
BMW M5 Competition,5.0,5.0,1
BMW 330 i,5.0,5.0,1
BMW X4 xDrive30i,5.0,5.0,1
BMW X4 M SPORTS ACTIVITY,5.0,5.0,1
BMW 535 i,5.0,5.0,1
BMW 530 i,5.0,5.0,1
BMW 528 i xDrive,5.0,5.0,1
BMW 760 760i xDrive,5.0,5.0,1
BMW 530e 530e,5.0,5.0,1
BMW 430 i,5.0,5.0,1
BMW 330 i,5.0,5.0,1
BMW 650 Gran Coupe i xDrive,5.0,5.0,1
BMW 430 Gran Coupe i xDrive,5.0,5.0,1
BMW 528 i xDrive,5.0,5.0,1
BMW M850 i xDrive,5.0,5.0,1
BMW 328 i,5.0,5.0,1
BMW 328 i,5.0,5.0,1
BMW X5 xDrive40i,5.0,5.0,1
BMW M850 Gran Coupe i xDrive,5.0,5.0,1
BMW X1 xDrive28i,5.0,5.0,1
BMW X6 xDrive40i,5.0,5.0,1
BMW M5,5.0,5.0,1
BMW X7 xDrive40i,5.0,5.0,1
BMW 330 i xDrive,5.0,5.0,1
BMW M550 i xDrive,5.0,5.0,1
BMW 230 i xDrive,5.0,5.0,1
BMW X1 xDrive28i,5.0,5.0,1
BMW X3 xDrive30i,5.0,5.0,1
BMW X2 xDrive28i,5.0,5.0,1
BMW 550 i xDrive,5.0,5.0,1
BMW 328 i,5.0,5.0,1
BMW M240 i xDrive,5.0,5.0,1
BMW X6 M Base,5.0,5.0,1
BMW 330 i,5.0,5.0,1
BMW 750 i xDrive,5.0,5.0,1
BMW X3 xDrive30i,5.0,5.0,1
BMW X6 xDrive50i,5.0,5.0,1
BMW 750 i xDrive,5.0,5.0,1
BMW 328 i xDrive,5.0,5.0,1
BMW M340 i xDrive,5.0,5.0,1
BMW 435 Gran Coupe i xDrive,5.0,5.0,1
BMW 328 i xDrive,5.0,5.0,1
BMW 530 i,5.0,5.0,1
BMW M850 i xDrive,5.0,5.0,1
BMW M4 Base,5.0,5.0,1
Chevrolet Silverado 3500 High Country,5.0,5.0,1
Chevrolet Malibu RS,5.0,5.0,1
Chevrolet Silverado 1500 RST,5.0,5.0,1
Chevrolet Bolt EUV Premier,5.0,5.0,1
Chevrolet Silverado 1500 WT,5.0,5.0,1
Chevrolet Suburban Premier,5.0,5.0,1
Chevrolet Trailblazer ACTIV,5.0,5.0,1
Chevrolet Tahoe LT,5.0,5.0,1
Chevrolet Silverado 2500 LTZ,5.0,5.0,1
Chevrolet Bolt EUV LT,5.0,5.0,1
Chevrolet Silverado 1500 RST,5.0,5.0,1
Chevrolet Camaro 1LT,5.0,5.0,1
Chevrolet Suburban Premier,5.0,5.0,1
Chevrolet Silverado 1500 LTZ,5.0,5.0,1
Chevrolet Tahoe LT,5.0,5.0,1
Chevrolet Camaro SS,5.0,5.0,1
Chevrolet Silverado 2500 High Country,5.0,5.0,1
Chevrolet Tahoe High Country,5.0,5.0,1
Chevrolet Colorado WT,5.0,5.0,1
Chevrolet Silverado 1500 RST,5.0,5.0,1
Chevrolet Suburban LS,5.0,5.0,1
Chevrolet Camaro 1LT,5.0,5.0,1
Chevrolet Camaro 2SS,5.0,5.0,1
Chevrolet Silverado 2500 Custom,5.0,5.0,1
Chevrolet Camaro LT1,5.0,5.0,1
Chevrolet Silverado 1500 RST,5.0,5.0,1
Chevrolet Silverado 2500 Custom,5.0,5.0,2
Chevrolet Silverado 2500 Custom,5.0,5.0,2
Chevrolet Suburban Premier,5.0,5.0,1
Chevrolet Tahoe LS,5.0,5.0,1
Chevrolet Tahoe RST,5.0,5.0,1
Chevrolet Corvette Stingray w/2LT,5.0,5.0,1
Chevrolet Corvette Stingray w/2LT,5.0,5.0,1
Chevrolet Traverse LT Cloth,5.0,5.0,1
Chevrolet Tahoe Z71,5.0,5.0,1
Chevrolet Traverse LS,5.0,5.0,1
Chevrolet Colorado Z71,5.0,5.0,1
Chevrolet Tahoe LS,5.0,5.0,1
Chevrolet Tahoe Premier,5.0,5.0,1
Chevrolet Tahoe LT,5.0,5.0,1
Chevrolet Bolt EUV Premier,5.0,5.0,1
Chevrolet Silverado 1500 Custom,5.0,5.0,1
Chevrolet Silverado 2500 Custom,5.0,5.0,1
Chevrolet Blazer 3LT,5.0,5.0,1
Chevrolet Silverado 1500 High Country,5.0,5.0,1
Chevrolet Camaro ZL1,5.0,5.0,1
Chevrolet Trailblazer RS,5.0,5.0,1
Chevrolet Equinox RS,5.0,5.0,1
Chevrolet Colorado Z71,5.0,5.0,1
Chevrolet Tahoe Z71,5.0,5.0,1
Chevrolet Impala 1LT,5.0,5.0,1
Chevrolet Equinox 1LT,5.0,5.0,1
Chevrolet Silverado 1500 ZR2,5.0,5.0,1
Chevrolet Silverado 1500 LT Trail Boss,5.0,5.0,1
Chevrolet Van G10,5.0,5.0,1
Chevrolet Corvette Z06,5.0,5.0,2
Chevrolet Corvette Z06,5.0,5.0,2
Chevrolet Camaro ZL1,5.0,5.0,1
Chevrolet Trailblazer ACTIV,5.0,5.0,1
Chevrolet Silverado 1500 LT Trail Boss,5.0,5.0,1
Chevrolet Tahoe Z71,5.0,5.0,1
Chevrolet Suburban LT,5.0,5.0,1
Chevrolet Tahoe Premier,5.0,5.0,1
Chevrolet Silverado 1500 Custom,5.0,5.0,1
Chevrolet Express 1500 Explorer Limited SE Conversion Van,5.0,5.0,1
Chevrolet Tahoe RST,5.0,5.0,1
Chevrolet Suburban LT,5.0,5.0,1
Chevrolet Colorado LT,5.0,5.0,1
Chevrolet Trailblazer LT,5.0,5.0,1
Chevrolet Tahoe LTZ,5.0,5.0,1
Chevrolet Impala 1LT,5.0,5.0,1
Chevrolet Tahoe RST,5.0,5.0,1
Chevrolet Trailblazer ACTIV,5.0,5.0,1
Chevrolet Equinox 1LT,5.0,5.0,1
Chevrolet Silverado 1500 LD LT,5.0,5.0,1
Chevrolet Trax LT,5.0,5.0,1
Chevrolet Silverado 1500 RST,5.0,5.0,1
Chevrolet Camaro 1LT,5.0,5.0,1
Dodge Challenger R/T Scat Pack,5.0,5.0,1
Dodge Charger R/T,5.0,5.0,1
Dodge Grand Caravan SXT,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Journey SE,5.0,5.0,1
Dodge Challenger SRT Hellcat,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Challenger R/T Scat Pack,5.0,5.0,1
Dodge Challenger SRT Hellcat,5.0,5.0,1
Dodge Charger R/T,5.0,5.0,1
Dodge Challenger R/T Scat Pack,5.0,5.0,1
Dodge Durango Limited,5.0,5.0,1
Dodge Challenger R/T,5.0,5.0,1
Dodge Durango SXT,5.0,5.0,1
Dodge Challenger R/T,5.0,5.0,1
Dodge Durango Limited,5.0,5.0,1
Dodge Challenger GT,5.0,5.0,1
Dodge Durango SXT,5.0,5.0,1
Dodge Durango R/T,5.0,5.0,1
Dodge Journey Limited,5.0,5.0,1
Dodge Durango GT,5.0,5.0,1
Dodge Dart SXT,5.0,5.0,1
Dodge Charger SE,5.0,5.0,1
Dodge Durango GT,5.0,5.0,1
Dodge Durango SRT Hellcat,5.0,5.0,1
Dodge Challenger R/T,5.0,5.0,1
Dodge Challenger GT,5.0,5.0,1
Dodge Challenger R/T,5.0,5.0,1
Dodge Durango Citadel,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Durango R/T,5.0,5.0,1
Dodge Challenger R/T Scat Pack,5.0,5.0,1
Dodge Durango GT,5.0,5.0,1
Dodge Charger SXT,5.0,5.0,1
Dodge Durango R/T,5.0,5.0,1
