vehiculo,anio,estado,promedio_calificacion,n_resenas
Dodge Challenger R/T Scat Pack,2022,Nuevo,5.0,645
Dodge Grand Caravan SXT,2019,Usado,5.0,582
Hyundai Kona SEL,2023,Nuevo,5.0,105
INFINITI QX80 Luxe,2019,Usado,5.0,422
Porsche Macan Base,2021,Usado,5.0,111
Tesla Model S 75D,2017,Usado,5.0,797
Acura MDX Technology,2023,Nuevo,4.99,62
Acura ILX Base,2019,Usado,4.99,642
BMW X5 xDrive40i,2023,Nuevo,4.99,413
BMW X5 M50i,2023,Nuevo,4.99,749
BMW X5 M50i,2021,Usado,4.99,149
Dodge Challenger SXT,2023,Nuevo,4.99,65
Dodge Charger SXT,2016,Usado,4.99,576
Ford Bronco Sport Big Bend,2022,Nuevo,4.99,216
INFINITI M37 Base,2012,Usado,4.99,339
INFINITI G37x Base,2013,Usado,4.99,791
INFINITI QX55 LUXE,2023,Nuevo,4.99,525
Lexus ES 350 F Sport,2019,Usado,4.99,637
Lexus GX 460 Base,2014,Usado,4.99,385
Lexus ES 350 Base,2018,Usado,4.99,116
Mercedes-Benz GLC 300 Base 4MATIC,2022,Nuevo,4.99,655
Porsche Cayman Base,2009,Usado,4.99,458
Tesla Model X P100D,2019,Usado,4.99,420
Tesla Model S 75D,2017,Usado,4.99,422
Tesla Model 3 Long Range,2018,Usado,4.99,241
Acura RDX A-Spec,2019,Usado,4.98,603
BMW X5 xDrive40i,2023,Nuevo,4.98,685
BMW M4 ,2017,Usado,4.98,31
BMW X1 sDrive28i,2017,Usado,4.98,265
Chevrolet Impala 2LZ,2014,Usado,4.98,455
Dodge Durango Citadel,2018,Usado,4.98,581
Dodge Charger GT,2021,Dodge Certified,4.98,456
INFINITI QX80 Luxe,2019,Usado,4.98,437
INFINITI QX80 Base,2017,Usado,4.98,162
INFINITI QX60 Luxe,2023,Nuevo,4.98,419
Lexus NX 450h+ F SPORT,2022,Usado,4.98,210
Lexus RX 350 F Sport Performance,2020,Usado,4.98,24
Mercedes-Benz GLB 250 Base 4MATIC,2022,Nuevo,4.98,584
Mercedes-Benz AMG SL 63 SL 63 AMG 4MATIC,2022,Nuevo,4.98,138
Porsche Cayenne ,2023,Nuevo,4.98,385
Porsche 911 Carrera,2015,Usado,4.98,220
Acura TSX 2.4,2012,Usado,4.97,97
BMW X5 PHEV xDrive45e,2023,Nuevo,4.97,398
BMW iX M60,2023,Nuevo,4.97,622
Chevrolet Silverado 2500 LT,2022,Nuevo,4.97,436
Chevrolet Colorado WT,2022,Nuevo,4.97,447
Dodge Charger SXT,2017,Usado,4.97,468
Dodge Charger GT,2018,Dodge Certified,4.97,359
Hyundai Santa Fe SE,2021,Usado,4.97,127
INFINITI Q60 3.0t Red Sport 400,2022,Nuevo,4.97,74
INFINITI QX60 Base,2017,INFINITI Certified,4.97,28
Mercedes-Benz GLC 300 Base 4MATIC,2022,Nuevo,4.97,489
Mercedes-Benz EQS 580 Base 4MATIC,2022,Nuevo,4.97,589
Mercedes-Benz C-Class C 300 4MATIC,2023,Nuevo,4.97,594
Mercedes-Benz EQS 580 Base 4MATIC,2022,Nuevo,4.97,371
Mercedes-Benz G-Class G 550 4MATIC,2023,Nuevo,4.97,586
Mercedes-Benz E-Class E 450,2022,Nuevo,4.97,468
Porsche Macan Base,2021,Porsche Certified,4.97,232
Tesla Model Y Long Range,2021,Usado,4.97,757
Acura MDX w/Technology Package,2023,Nuevo,4.96,232
Acura RDX A-Spec,2020,Usado,4.96,645
BMW M4 Competition xDrive,2023,Nuevo,4.96,260
BMW 335 i,2013,Usado,4.96,136
BMW 330 i xDrive,2018,Usado,4.96,357
Dodge Charger Scat Pack,2022,Nuevo,4.96,393
Ford Bronco Sport Big Bend,2022,Nuevo,4.96,109
Hyundai Kona N Base,2023,Nuevo,4.96,186
INFINITI QX80 SENSORY,2022,Nuevo,4.96,612
INFINITI QX50 ESSENTIAL,2019,Usado,4.96,456
Lexus GS 350 F Sport,2016,Usado,4.96,375
Lexus RX 350 350,2018,Usado,4.96,260
Lexus GX 460 Base,2018,Usado,4.96,738
Lexus ES 350 350,2019,Usado,4.96,175
Mercedes-Benz EQS 450+ Base,2023,Nuevo,4.96,611
Mercedes-Benz EQS 450 Base 4MATIC,2023,Nuevo,4.96,466
Mercedes-Benz AMG GLE 63 S,2023,Nuevo,4.96,726
Porsche 911 Carrera 4S,2013,Usado,4.96,92
Acura RDX Technology Package,2020,Usado,4.95,58
Acura RDX Technology Package,2021,Usado,4.95,531
BMW X5 xDrive40i,2023,Nuevo,4.95,104
BMW 760 760i xDrive,2023,Nuevo,4.95,691
BMW 740 i,2018,Usado,4.95,686
BMW M850 i xDrive,2019,BMW Certified,4.95,577
Chevrolet Silverado 1500 Custom,2022,Nuevo,4.95,276
Chevrolet Corvette Grand Sport,2019,Usado,4.95,673
Chevrolet Bolt EUV Premier,2023,Nuevo,4.95,551
Dodge Challenger R/T Scat Pack,2022,Nuevo,4.95,407
Dodge Durango SXT,2021,Usado,4.95,653
Ford Bronco Raptor,2023,Nuevo,4.95,97
Ford Explorer ST-Line,2023,Nuevo,4.95,269
Hyundai Elantra HEV Blue,2023,Nuevo,4.95,14
Hyundai Palisade XRT,2023,Nuevo,4.95,713
Hyundai Tucson Sport,2020,Usado,4.95,403
INFINITI QX50 Base,2017,Usado,4.95,630
Lexus ES 350 ,2015,Usado,4.95,233
Lexus ES 350 Base,2017,Usado,4.95,89
Mercedes-Benz G-Class G 550 4MATIC,2023,Nuevo,4.95,176
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,4.95,717
Porsche Macan Base,2023,Nuevo,4.95,6
Porsche Macan Base (PDK),2018,Usado,4.95,74
Tesla Model S ,2019,Usado,4.95,326
